Case_Number,Vehicle No.,Body Type,Speed Exceed,Driver Safety,Pedestrian Crash,Hit/Run
10066,1,"2-door sedan,hardtop,coupe",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
10068,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
10069,1,Light Pickup,No,Driver Has a Driving Record or Driver`s License From More Than One State,Other cause of control loss (specify:),No
10073,1,"Convertible(excludes sun-roof,t-bar)",No,Driver Has a Driving Record or Driver`s License From More Than One State,Off the edge of the road on the left side,No
10075,1,Station Wagon (excluding van and truck based),No,Driver Has a Driving Record or Driver`s License From More Than One State,Off the edge of the road on the right side,No
10077,1,"4-door sedan, hardtop",No,Aggressive Driving / Road Rage,Unknown cause of control loss,No
10078,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10081,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Turning Left,No
10083,1,Light Pickup,No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10084,1,5-door/4-door hatchback,"Yes, Exceeded Speed Limit",Passing with Insufficient Distance or Inadequate Visibility or Failing to Yield to Overtaking Vehicle,Over the lane line on left side of travel lane,No
10086,1,"4-door sedan, hardtop",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10090,1,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",No,Failure to Yield Right-of-Way,Turning Left,No
10091,1,"4-door sedan, hardtop",No,Improper Lane Usage,Off the edge of the road on the left side,No
10094,1,Light Pickup,No,Driver Has a Driving Record or Driver`s License From More Than One State,Pedestrian in road,No
10095,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Overcorrecting,Off the edge of the road on the right side,No
10096,1,Light Pickup,"Yes, Too Fast for Conditions",Improper Lane Usage,Over the lane line on left side of travel lane,No
10096,2,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,From opposite direction  over left lane line,No
10097,1,Light Pickup,"Yes, Too Fast for Conditions",Driver Has a Driving Record or Driver`s License From More Than One State,Off the edge of the road on the right side,No
10098,1,Light Pickup,No,Driver Has a Driving Record or Driver`s License From More Than One State,Crossing over (passing through) Junction,No
10099,1,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",No,Driver Has a Driving Record or Driver`s License From More Than One State,"From driveway, turning into opposite direction",No
10099,2,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,Failure to Yield Right-of-Way,Turning Left,No
10101,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Turning Left,No
10107,1,"4-door sedan, hardtop",No,Aggressive Driving / Road Rage,Off the edge of the road on the right side,No
10108,1,Light Pickup,No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
10111,2,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,From opposite direction  over left lane line,No
10112,1,Light Pickup,No,Passing with Insufficient Distance or Inadequate Visibility or Failing to Yield to Overtaking Vehicle,Traveling in opposite direction,No
10113,1,"4-door sedan, hardtop",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10118,1,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,Off the edge of the road on the right side,No
10120,1,Light Pickup,No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10121,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Turning Left,No
10121,2,Two Wheel Motorcycle (excluding motor scooters),No,Driver Has a Driving Record or Driver`s License From More Than One State,From opposite direction  over left lane line,No
10129,1,Light Pickup,No,Overcorrecting,Other cause of control loss (specify:),No
10134,1,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,Other cause of control loss (specify:),No
10136,2,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
10137,2,Light Pickup,No,Driver Has a Driving Record or Driver`s License From More Than One State,From opposite direction  over left lane line,No
10139,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,Improper Lane Usage,Over the lane line on left side of travel lane,Yes
10140,1,"4-door sedan, hardtop","Yes, Exceeded Speed Limit",Overcorrecting,Off the edge of the road on the right side,No
10141,1,"4-door sedan, hardtop",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10142,2,Two Wheel Motorcycle (excluding motor scooters),No,Driver Has a Driving Record or Driver`s License From More Than One State,Traveling in same direction with higher speed,No
10143,1,"4-door sedan, hardtop",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10145,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
10145,2,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,"From crossing street, across path",No
10146,1,"Other vehicle type (includes go-cart, fork-lift, city street sweeper dunes/swamp buggy)",No,Failure to Yield Right-of-Way,Other critical precrash event (specify:),No
10147,1,Light Pickup,No,Driver Has a Driving Record or Driver`s License From More Than One State,Crossing over (passing through) Junction,No
10148,1,Three-wheel Motorcycle (2 Rear Wheels),"Yes, Exceeded Speed Limit",Driver Has a Driving Record or Driver`s License From More Than One State,Off the edge of the road on the right side,No
10151,1,Light Pickup,"Yes, Exceeded Speed Limit",Overcorrecting,Off the edge of the road on the right side,No
10152,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
10161,1,Light Pickup,No,Driver Has a Driving Record or Driver`s License From More Than One State,Off the edge of the road on the right side,No
10163,1,"Medium/heavy Pickup (GVWR greater than 10,000 lbs.)",No,Failure to Yield Right-of-Way,Turning Left,No
10164,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Exceeded Speed Limit",Aggressive Driving / Road Rage,Off the edge of the road on the left side,No
10165,1,Station Wagon (excluding van and truck based),No,Driver Has a Driving Record or Driver`s License From More Than One State,Off the edge of the road on the left side,No
10166,1,Light Pickup,No,Driver Has a Driving Record or Driver`s License From More Than One State,Over the lane line on left side of travel lane,No
10168,1,3-door/2-door hatchback,No,Driver Has a Driving Record or Driver`s License From More Than One State,Traveling in opposite direction,No
10169,1,"4-door sedan, hardtop",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",End departure,No
10170,1,3-door/2-door hatchback,"Yes, Exceeded Speed Limit",Driver Has a Driving Record or Driver`s License From More Than One State,Off the edge of the road on the right side,No
10171,1,Light Pickup,No,Driver Has a Driving Record or Driver`s License From More Than One State,Crossing over (passing through) Junction,No
10171,2,Light Pickup,No,Driver Has a Driving Record or Driver`s License From More Than One State,"From crossing street, across path",No
10173,1,"4-door sedan, hardtop",No,Aggressive Driving / Road Rage,Off the edge of the road on the left side,No
10174,1,"4-door sedan, hardtop",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
10176,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Driver Has a Driving Record or Driver`s License From More Than One State,Off the edge of the road on the left side,No
10177,1,"Single-unit straight truck or Cab-Chassis (GVWR greater than 26,000 lbs.)",No,Driver Has a Driving Record or Driver`s License From More Than One State,Off the edge of the road on the right side,No
10179,1,Light Pickup,No,Aggressive Driving / Road Rage,Off the edge of the road on the right side,No
10180,1,Light Pickup,No,Driver Has a Driving Record or Driver`s License From More Than One State,Off the edge of the road on the left side,No
10182,1,"Large Van-Includes van-based buses (B150-B350, Sportsman, Royal Maxiwagon, Ram, Tradesman,...)",No,Failure to Yield Right-of-Way,Turning Left,No
10185,1,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,Pedestrian in road,No
10187,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")","Yes, Exceeded Speed Limit",Overcorrecting,Off the edge of the road on the left side,No
10190,1,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,Pedestrian in road,No
10191,1,Light Pickup,No,"Non-Traffic Violation Charged - manslaughter, homicide or other assault committed without malice.",Traveling in same direction with lower steady speed,No
10197,1,Light Pickup,No,Failure to Yield Right-of-Way,Turning Left,No
10199,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Overcorrecting,Off the edge of the road on the right side,No
10200,1,Light Pickup,No,Driver Has a Driving Record or Driver`s License From More Than One State,Pedestrian in road,No
10201,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")","Yes, Exceeded Speed Limit",Overcorrecting,Off the edge of the road on the right side,No
10204,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Exceeded Speed Limit",Aggressive Driving / Road Rage,Traveling in opposite direction,No
10205,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,Failure to Yield Right-of-Way,Turning Left,No
10206,1,"4-door sedan, hardtop",No,Overcorrecting,Off the edge of the road on the right side,No
10207,1,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,Over the lane line on left side of travel lane,No
10208,1,Two Wheel Motorcycle (excluding motor scooters),No,Aggressive Driving / Road Rage,Off the edge of the road on the right side,No
10210,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Overcorrecting,Other cause of control loss (specify:),No
10211,1,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,Over the lane line on left side of travel lane,No
10212,1,"4-door sedan, hardtop","Yes, Exceeded Speed Limit",Improper Lane Usage,Off the edge of the road on the left side,No
10213,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Turning Left,No
10215,1,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,Turning Left,No
10217,1,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,Pedestrian in road,No
10218,1,Station Wagon (excluding van and truck based),No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
10219,2,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,Turning Left,No
10220,1,"2-door sedan,hardtop,coupe",No,Improper Lane Usage,Off the edge of the road on the left side,No
10221,1,"4-door sedan, hardtop",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
10221,2,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,"From crossing street, across path",No
10222,1,Light Pickup,"Yes, Exceeded Speed Limit",Aggressive Driving / Road Rage,Off the edge of the road on the left side,No
10223,2,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Turning Left,No
10226,1,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,Off the edge of the road on the left side,No
10229,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Exceeded Speed Limit",Aggressive Driving / Road Rage,Over the lane line on left side of travel lane,No
10231,1,Light Pickup,"Yes, Exceeded Speed Limit",Overcorrecting,Off the edge of the road on the right side,No
10232,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Exceeded Speed Limit",Driver Has a Driving Record or Driver`s License From More Than One State,Traveling Too Fast for Conditions or Road Configuration,No
10233,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Turning Right,No
10233,2,Two Wheel Motorcycle (excluding motor scooters),No,Driver Has a Driving Record or Driver`s License From More Than One State,"From crossing street, turning into same direction",No
10234,1,Light Pickup,No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10237,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
10238,1,"4-door sedan, hardtop",No,Improper Lane Usage,Off the edge of the road on the left side,No
10239,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Exceeded Speed Limit",Improper Lane Usage,Off the edge of the road on the left side,No
10240,1,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,Over the lane line on left side of travel lane,No
10243,1,Light Pickup,"Yes, Exceeded Speed Limit",Overcorrecting,Off the edge of the road on the left side,No
10244,1,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)","Yes, Exceeded Speed Limit",Improper Lane Usage,Off the edge of the road on the left side,No
10245,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Turning Left,No
10249,1,"4-door sedan, hardtop",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
10250,1,"4-door sedan, hardtop",No,Improper Lane Usage,Off the edge of the road on the left side,No
10254,1,"4-door sedan, hardtop",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10256,1,"Large Van-Includes van-based buses (B150-B350, Sportsman, Royal Maxiwagon, Ram, Tradesman,...)",No,Overcorrecting,Off the edge of the road on the right side,No
10258,1,"4-door sedan, hardtop",No,Aggressive Driving / Road Rage,Over the lane line on left side of travel lane,No
10259,1,"Convertible(excludes sun-roof,t-bar)",No,Driving Wrong Way on One-Way Trafficway,Traveling in opposite direction,No
10260,1,5-door/4-door hatchback,"Yes, Exceeded Speed Limit",Driving Wrong Way on One-Way Trafficway,Traveling in opposite direction,No
10262,1,"4-door sedan, hardtop","Yes, Too Fast for Conditions",Aggressive Driving / Road Rage,Over the lane line on right side of travel lane,No
10263,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Turning Left,No
10266,1,3-door/2-door hatchback,No,Improper Lane Usage,Off the edge of the road on the right side,No
10269,1,"4-door sedan, hardtop",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10269,2,5-door/4-door hatchback,No,Driver Has a Driving Record or Driver`s License From More Than One State,From opposite direction  over left lane line,No
10270,1,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,Crossing over (passing through) Junction,No
10274,1,"4-door sedan, hardtop",No,Driving Wrong Way on One-Way Trafficway,Traveling in opposite direction,No
10275,1,"Medium/heavy Pickup (GVWR greater than 10,000 lbs.)",No,Overcorrecting,Off the edge of the road on the left side,No
10278,1,"Single-unit straight truck or Cab-Chassis (GVWR greater than 26,000 lbs.)",No Driver Present/Unknown if Driver Present,Stopped in Roadway (Vehicle Not Abandoned),Traveling in same direction with higher speed,No
10281,1,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",No,Overcorrecting,Blow out/flat tire,No
10284,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Turning Left,No
10286,1,ATV/ATC [All-Terrain Cycle],No,Aggressive Driving / Road Rage,Over the lane line on left side of travel lane,No
10287,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Failure to Yield Right-of-Way,Turning Left,No
10288,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Too Fast for Conditions",Driver Has a Driving Record or Driver`s License From More Than One State,Traveling Too Fast for Conditions or Road Configuration,No
10290,1,"Convertible(excludes sun-roof,t-bar)","Yes, Exceeded Speed Limit",Aggressive Driving / Road Rage,Traveling Too Fast for Conditions or Road Configuration,No
10292,1,ATV/ATC [All-Terrain Cycle],No,Driver Has a Driving Record or Driver`s License From More Than One State,Off the edge of the road on the left side,No
10293,1,"4-door sedan, hardtop","Yes, Exceeded Speed Limit",Improper Lane Usage,Off the edge of the road on the left side,No
10294,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Overcorrecting,Off the edge of the road on the left side,No
10296,1,Light Pickup,"Yes, Exceeded Speed Limit",Aggressive Driving / Road Rage,Off the edge of the road on the right side,No
10297,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")","Yes, Exceeded Speed Limit","Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
10299,1,"4-door sedan, hardtop",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
10300,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
10300,2,Light Pickup,No,Driver Has a Driving Record or Driver`s License From More Than One State,From opposite direction  over left lane line,No
10301,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Overcorrecting,Off the edge of the road on the right side,No
10304,1,"4-door sedan, hardtop","Yes, Exceeded Speed Limit",Driver Has a Driving Record or Driver`s License From More Than One State,Off the edge of the road on the right side,No
10307,1,Light Pickup,No,Driver Has a Driving Record or Driver`s License From More Than One State,Turning Left,No
10307,2,Light Pickup,No,Driver Has a Driving Record or Driver`s License From More Than One State,From opposite direction  over left lane line,No
10308,1,"4-door sedan, hardtop","Yes, Exceeded Speed Limit",Driver Has a Driving Record or Driver`s License From More Than One State,Off the edge of the road on the right side,No
10309,1,Light Pickup,"Yes, Racing",Improper Lane Usage,Over the lane line on right side of travel lane,No
10309,2,"4-door sedan, hardtop","Yes, Racing",Aggressive Driving / Road Rage,From adjacent lane (same direction) over left lane line,No
10313,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Overcorrecting,Off the edge of the road on the right side,No
10314,1,Light Pickup,No,Driver Has a Driving Record or Driver`s License From More Than One State,Crossing over (passing through) Junction,No
10314,2,Light Pickup,No,Driver Has a Driving Record or Driver`s License From More Than One State,Turning Left,No
10315,1,Golf Cart,No,Failure to Yield Right-of-Way,Turning Left,No
10315,2,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Driver Has a Driving Record or Driver`s License From More Than One State,"From driveway, turning into opposite direction",No
10316,1,"Cab Chassis Based (includes Rescue Vehicle, Light Stake, Dump, and Tow Truck)",No,Overcorrecting,Off the edge of the road on the right side,No
10319,2,Farm equipment other than trucks,No,Driver Has a Driving Record or Driver`s License From More Than One State,Traveling in same direction with higher speed,No
10320,1,Light Pickup,No,Aggressive Driving / Road Rage,Crossing over (passing through) Junction,No
10320,2,"Single-unit straight truck or Cab-Chassis (GVWR greater than 26,000 lbs.)",No,Driver Has a Driving Record or Driver`s License From More Than One State,"From crossing street, across path",No
10321,1,"4-door sedan, hardtop",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Off the edge of the road on the left side,No
10322,1,Light Pickup,No,Following Improperly,Traveling in same direction while decelerating,No
10323,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Failure to Yield Right-of-Way,Turning Left,No
10324,1,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",No,Live Animals in Road,Animal in road,No
10325,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
10326,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
10327,1,Station Wagon (excluding van and truck based),"Yes, Too Fast for Conditions","Ice, Snow, Slush, Water, Sand, Dirt, Oil, Wet Leaves on Road","Suddenly Encountered Poor Road Conditions [Puddle, Pot Hole, Ice, Etc.][Specify:]",No
10328,1,Light Pickup,"Yes, Too Fast for Conditions",Driver Has a Driving Record or Driver`s License From More Than One State,Off the edge of the road on the left side,No
10329,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
10333,1,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)","Yes, Too Fast for Conditions",Overcorrecting,Off the edge of the road on the right side,No
10336,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Improper Lane Usage,Off the edge of the road on the left side,No
10337,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,Overcorrecting,Off the edge of the road on the right side,No
10338,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Driver Has a Driving Record or Driver`s License From More Than One State,Off the edge of the road on the left side,No
10341,2,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Driver Has a Driving Record or Driver`s License From More Than One State,Crossing over (passing through) Junction,No
10343,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","Yes, Exceeded Speed Limit",Improper Lane Usage,Off the edge of the road on the left side,No
10344,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Turning Left,No
10345,1,Two Wheel Motorcycle (excluding motor scooters),No,Aggressive Driving / Road Rage,"From parking Lane/Shoulder, Median/Crossover, Roadside",No
10347,1,Light Pickup,"Yes, Exceeded Speed Limit",Overcorrecting,Off the edge of the road on the right side,No
10348,1,"4-door sedan, hardtop",No,Driver Has a Driving Record or Driver`s License From More Than One State,Turning Left,No
10349,1,"4-door sedan, hardtop",No,Improper Lane Usage,Off the edge of the road on the left side,No
10351,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Unfamiliar with Roadway,Off the edge of the road on the left side,No
10353,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,Yes
10354,1,"4-door sedan, hardtop","Yes, Exceeded Speed Limit",Overcorrecting,Traveling Too Fast for Conditions or Road Configuration,No
10355,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
